snapped_at,price,market_cap,total_volume
2018-07-08 00:00:00 UTC,6759.83608914527,115842716194.10700,6047929422.833750
2018-07-09 00:00:00 UTC,6700.63547905209,114841688927.81300,5015170529.876130
2018-07-10 00:00:00 UTC,6648.256795903320,113955190214.94200,5246420831.047290
2018-07-11 00:00:00 UTC,6303.380664729320,108055463516.65700,4358427107.61466
2018-07-12 00:00:00 UTC,6373.234804689940,109263693476.82500,3969169303.744410
2018-07-13 00:00:00 UTC,6230.5901971047800,106829387990.04900,3534743492.203710
2018-07-14 00:00:00 UTC,6248.397313033800,107145717585.4770,3951261052.820790
2018-07-15 00:00:00 UTC,6246.13741162634,107117271573.7230,3709146622.835990
2018-07-16 00:00:00 UTC,6349.695836710770,108903950780.21800,2857367439.538570
2018-07-17 00:00:00 UTC,6741.6919602852700,115637208433.3910,4559363479.1402900
2018-07-18 00:00:00 UTC,7303.373059795860,125285895738.59400,6194130741.142910
2018-07-19 00:00:00 UTC,7334.771372076190,125840376647.27200,4843025304.5135600
2018-07-20 00:00:00 UTC,7442.800738748320,127709804699.66200,4107857510.670370
2018-07-21 00:00:00 UTC,7331.871523239400,125820597539.21900,3727831730.875350
2018-07-22 00:00:00 UTC,7379.137271821950,126644347498.86000,2892881147.245290
2018-07-23 00:00:00 UTC,7395.8664054401,126948286633.17500,5717881945.865360
2018-07-24 00:00:00 UTC,7704.99567890457,132270404905.45900,6202101797.69894
2018-07-25 00:00:00 UTC,8422.37392335148,144602365043.07200,5592076817.676130
2018-07-26 00:00:00 UTC,8144.553482041880,139850429188.6200,4086880124.497770
2018-07-27 00:00:00 UTC,7929.079243602940,136166569453.30600,3429994449.907070
2018-07-28 00:00:00 UTC,8145.333168120670,139897416706.44600,3624913497.9545000
2018-07-29 00:00:00 UTC,8192.13570223742,140716208459.56800,3659115450.6126000
2018-07-30 00:00:00 UTC,8197.593575814210,140827378169.39300,2598593361.850840
2018-07-31 00:00:00 UTC,8185.921138302330,140640772123.99800,3497813384.6209700
2018-08-01 00:00:00 UTC,7738.249304586210,132963528816.20700,4675498855.415110
2018-08-02 00:00:00 UTC,7612.300753683120,130813483341.75800,11591125727.422800
2018-08-03 00:00:00 UTC,7540.633150617150,129596337579.7670,6834800615.470860
2018-08-04 00:00:00 UTC,7411.66638248389,127395242323.66500,5580835718.27458
2018-08-05 00:00:00 UTC,7009.012011793920,120489906899.29000,5952900997.745490
2018-08-06 00:00:00 UTC,7036.60933127318,120977961419.31400,5989412029.067530
2018-08-07 00:00:00 UTC,6926.116778774000,119089729729.2740,6927841831.688440
2018-08-08 00:00:00 UTC,6711.73242235858,115416628667.98400,6729676123.905340
